Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-36.841,3.333977094344772e+06, 9, Download, 
11-16-2022-18-52-36.841,866236.3044500112, 10, Download, 
11-16-2022-18-52-36.841,800859.9795858595, 0, Upload, 
11-16-2022-18-52-36.841,1.4709673094434154e+06, 1, Upload, 
11-16-2022-18-52-36.841,441290.1928330246, 2, Upload, 
11-16-2022-18-52-36.841,1.1277416039066184e+06, 3, Upload, 
11-16-2022-18-52-36.841,147096.73094434154, 4, Upload, 
11-16-2022-18-52-36.841,702795.4922896317, 5, Upload, 
11-16-2022-18-52-36.841,588386.9237773662, 6, Upload, 
11-16-2022-18-52-36.841,800859.9795858595, 7, Upload, 
11-16-2022-18-52-36.841,441290.1928330246, 8, Upload, 
11-16-2022-18-52-36.841,523010.59891321434, 9, Upload, 
11-16-2022-18-52-36.841,1.307526497283036e+06, 10, Upload, 
11-16-2022-18-52-37.842,786097.9869653384, 0, Upload, 
11-16-2022-18-52-37.842,851606.1525457832, 1, Upload, 
11-16-2022-18-52-37.842,802475.0283604496, 2, Upload, 
11-16-2022-18-52-37.842,1.146392897657785e+06, 3, Upload, 
11-16-2022-18-52-37.842,769720.9455702271, 4, Upload, 
11-16-2022-18-52-37.842,704212.7799897823, 5, Upload, 
11-16-2022-18-52-37.842,311163.7865071131, 6, Upload, 
11-16-2022-18-52-37.842,376671.952087558, 7, Upload, 
11-16-2022-18-52-37.842,867983.1939408944, 8, Upload, 
11-16-2022-18-52-37.842,458557.159063114, 9, Upload, 
11-16-2022-18-52-37.842,818852.0697555608, 10, Upload, 
11-16-2022-18-52-37.842,294786.7451120019, 11, Upload, 
11-16-2022-18-52-37.842,2.574298180703019e+07, 0, Download, 
11-16-2022-18-52-37.842,3.651792353429028e+06, 1, Download, 
11-16-2022-18-52-37.842,3.438890815292582e+06, 2, Download, 
11-16-2022-18-52-37.842,1.899520893572321e+06, 3, Download, 
11-16-2022-18-52-37.842,2.1124944011289603e+06, 4, Download, 
11-16-2022-18-52-37.842,966173.4728913684, 5, Download, 
11-16-2022-18-52-37.842,425587.16801231157, 6, Download, 
11-16-2022-18-52-37.842,474934.20045822527, 7, Download, 
11-16-2022-18-52-37.842,605950.531619115, 8, Download, 
11-16-2022-18-52-37.842,1.333004806257821e+07, 9, Download, 
11-16-2022-18-52-37.842,1.3591504969538443e+06, 10, Download, 
11-16-2022-18-52-37.842,4.863765386087451e+06, 11, Download, 
11-16-2022-18-52-38.843,850643.038403383, 0, Upload, 
11-16-2022-18-52-38.843,245377.7995394374, 1, Upload, 
11-16-2022-18-52-38.843,507114.1190481706, 2, Upload, 
11-16-2022-18-52-38.843,114509.63978507079, 3, Upload, 
11-16-2022-18-52-38.843,670699.3187411289, 4, Upload, 
11-16-2022-18-52-38.843,392604.47926309984, 5, Upload, 
11-16-2022-18-52-38.843,523472.63901746646, 6, Upload, 
11-16-2022-18-52-38.843,130868.15975436661, 7, Upload, 
11-16-2022-18-52-38.843,1.0633037980042286e+06, 8, Upload, 
11-16-2022-18-52-38.843,1.0633037980042286e+06, 9, Upload, 
11-16-2022-18-52-38.843,703416.3586797205, 10, Upload, 
11-16-2022-18-52-38.843,654340.7987718331, 11, Upload, 
11-16-2022-18-52-38.843,212660.75960084575, 12, Upload, 
11-16-2022-18-52-38.843,2.0561293728887886e+07, 0, Download, 
11-16-2022-18-52-38.843,1.4868888219708983e+07, 1, Download, 
11-16-2022-18-52-38.843,2.3064075396162937e+06, 2, Download, 
11-16-2022-18-52-38.843,1.6030630689637822e+06, 3, Download, 
11-16-2022-18-52-38.843,2.175539379861927e+06, 4, Download, 
11-16-2022-18-52-38.843,1.226817109669978e+06, 5, Download, 
11-16-2022-18-52-38.843,408962.99923239567, 6, Download, 
11-16-2022-18-52-38.843,539831.1589867623, 7, Download, 
11-16-2022-18-52-38.843,637982.2788025372, 8, Download, 
11-16-2022-18-52-38.843,0, 9, Download, 
11-16-2022-18-52-38.843,1.701286076806766e+06, 10, Download, 
11-16-2022-18-52-38.843,1.917153841176983e+07, 11, Download, 
11-16-2022-18-52-38.843,523472.63901746646, 12, Download, 
11-16-2022-18-52-39.845,2.38250458797516e+07, 0, Download, 
11-16-2022-18-52-39.845,1.860490796982274e+07, 1, Download, 
