Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-18-53-33.561,1, 2.5717385,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.661,1, 2.4712897,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.770,1, 2.3618164,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.976,1, 2.1566587999999998,0.038415,1297408, SelfUp,
11-16-2022-18-53-33.871,1, 2.2617459,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.076,1, 2.0563321,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.183,1, 1.9490764999999999,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.286,1, 1.8459172000000001,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.390,1, 1.74256,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.490,1, 1.6419633999999999,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.592,1, 1.5406621,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.699,1, 1.4332635,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.800,1, 1.3318506,0.038415,1297408, SelfUp,
11-16-2022-18-53-34.904,1, 1.2277661,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.007,1, 1.1248556,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.110,1, 1.0223548,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.210,1, 0.9223641,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.310,1, 0.8219889,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.418,1, 0.7146694,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.518,1, 0.6145971,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.632,1, 0.5005273,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.732,1, 0.40014,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.832,1, 0.3000055,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.932,1, 0.1999529,0.038415,1297408, SelfUp,
11-16-2022-18-53-36.034,1, 0.0984666,0.038415,1297408, SelfUp,
11-16-2022-18-53-35.932,1, 0.2207361,0.034832,251766, SelfDown,
11-16-2022-18-53-36.034,1, 0.1256654,0.036092,251892, SelfDown,
11-16-2022-18-53-36.137,1, 0.0372227,0.038376,1297408, SelfUp,
11-16-2022-18-53-36.137,1, 0.0845224,0.036049,252023, SelfDown,
11-16-2022-18-53-36.238,1, 0.0664584,0.041201,1297408, SelfUp,
11-16-2022-18-53-36.346,1, 0.0434153,0.040191,1297408, SelfUp,
11-16-2022-18-53-36.237,1, 0.2148525,0.034884,252235, SelfDown,
11-16-2022-18-53-36.346,1, 0.1080442,0.034884,252235, SelfDown,
11-16-2022-18-53-36.450,1, 0.0208305,0.033995,1297408, SelfUp,
11-16-2022-18-53-36.450,1, 0.0248318,0.025371,252504, SelfDown,
11-16-2022-18-53-36.551,1, 0.0348459,0.034164,1297408, SelfUp,
11-16-2022-18-53-36.551,1, 0.0848867,0.03561,252893, SelfDown,
11-16-2022-18-53-36.651,1, 0.03764,0.034185,1297408, SelfUp,
11-16-2022-18-53-36.651,1, 0.1703963,0.035945,253248, SelfDown,
11-16-2022-18-53-36.751,1, 0.0900544,0.035945,253248, SelfDown,
11-16-2022-18-53-36.751,1, 0.1758671,0.037029,1297408, SelfUp,
11-16-2022-18-53-36.852,1, 0.0756759,0.037029,1297408, SelfUp,
11-16-2022-18-53-36.852,1, 0.1778683,0.039282,253510, SelfDown,
11-16-2022-18-53-36.959,1, 0.0847355,0.045431,1297408, SelfUp,
11-16-2022-18-53-36.959,1, 0.0859963,0.039282,253510, SelfDown,
11-16-2022-18-53-37.059,1, 0.0331739,0.039552,1297408, SelfUp,
11-16-2022-18-53-37.059,1, 0.0454009,0.028474,275299, SelfDown,
11-16-2022-18-53-37.159,1, 0.0298523,0.029788,1297408, SelfUp,
11-16-2022-18-53-37.159,1, 0.0380087,0.027987,277985, SelfDown,
11-16-2022-18-53-37.260,1, 0.0373027,0.033195,1297408, SelfUp,
