Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-49.741,1, 0.3457232,0.043865,91297, Self,
11-16-2022-13-58-49.841,1, 0.2456308,0.043865,91297, Self,
11-16-2022-13-58-49.942,1, 0.343328,0.04111,93145, Self,
11-16-2022-13-58-50.043,1, 0.293639,0.040886,93525, Self,
11-16-2022-13-58-50.147,1, 0.2235373,0.033284,95841, Self,
11-16-2022-13-58-50.250,1, 0.1311314,0.033284,95841, Self,
11-16-2022-13-58-50.352,1, 0.0860468,0.036197,68070, Self,
11-16-2022-13-58-50.452,1, 0.1326172,0.037586,68077, Self,
11-16-2022-13-58-50.552,1, 0.1279575,0.041471,68087, Self,
11-16-2022-13-58-50.653,1, 0.1910605,0.041203,68101, Self,
11-16-2022-13-58-50.753,1, 0.1363473,0.04019,68179, Self,
11-16-2022-13-58-50.854,1, 0.1043502,0.039417,68349, Self,
11-16-2022-13-58-50.954,1, 0.170524,0.037483,69175, Self,
11-16-2022-13-58-51.054,1, 0.1393163,0.044828,69687, Self,
11-16-2022-13-58-51.154,1, 0.1120068,0.044318,69998, Self,
11-16-2022-13-58-51.255,1, 0.1080326,0.045832,70688, Self,
11-16-2022-13-58-51.355,1, 0.1354015,0.046742,71534, Self,
11-16-2022-13-58-51.456,1, 0.140669,0.048563,50277, Self,
11-16-2022-13-58-51.557,1, 0.452409,0.040352,50298, Self,
11-16-2022-13-58-51.958,1, 0.1901346,0.034705,52551, Self,
11-16-2022-13-58-51.858,1, 0.2902368,0.034705,52551, Self,
11-16-2022-13-58-51.758,1, 0.3903799,0.034705,52551, Self,
11-16-2022-13-58-51.658,1, 0.4904887,0.034705,52551, Self,
11-16-2022-13-58-52.059,1, 0.1754531,0.033102,54656, Self,
11-16-2022-13-58-52.163,1, 0.1777421,0.035021,56973, Self,
11-16-2022-13-58-52.264,1, 0.1943853,0.034756,59103, Self,
11-16-2022-13-58-52.365,1, 0.154988,0.032417,62461, Self,
11-16-2022-13-58-52.466,1, 0.2568026,0.031825,66688, Self,
11-16-2022-13-58-52.566,1, 0.1566306,0.031825,66688, Self,
11-16-2022-13-58-52.666,1, 0.0911495,0.031791,67909, Self,
11-16-2022-13-58-52.770,1, 0.1456947,0.031229,72291, Self,
11-16-2022-13-58-52.870,1, 0.18644,0.030554,75796, Self,
11-16-2022-13-58-52.970,1, 0.1917091,0.031502,77857, Self,
11-16-2022-13-58-53.071,1, 0.2072488,0.035104,77860, Self,
11-16-2022-13-58-53.171,1, 0.2472347,0.034417,80502, Self,
11-16-2022-13-58-53.271,1, 0.1469667,0.034417,80502, Self,
11-16-2022-13-58-53.372,1, 0.1129018,0.03391,83253, Self,
11-16-2022-13-58-53.473,1, 0.2229853,0.039883,83263, Self,
11-16-2022-13-58-53.573,1, 0.1487205,0.040251,83264, Self,
11-16-2022-13-58-53.674,1, 0.1407029,0.034087,89106, Self,
11-16-2022-13-58-53.775,1, 0.1696742,0.034872,94284, Self,
11-16-2022-13-58-53.876,1, 0.1887646,0.034925,94286, Self,
11-16-2022-13-58-53.976,1, 0.1737805,0.036804,94288, Self,
11-16-2022-13-58-54.077,1, 0.2037905,0.033903,98327, Self,
11-16-2022-13-58-54.181,1, 0.0997118,0.033903,98327, Self,
11-16-2022-13-58-54.281,1, 0.2248453,0.032639,106916, Self,
11-16-2022-13-58-54.382,1, 0.1269039,0.032639,106916, Self,
11-16-2022-13-58-54.483,1, 0.1940285,0.032674,110532, Self,
11-16-2022-13-58-54.584,1, 0.1345291,0.034385,110692, Self,
11-16-2022-13-58-54.684,1, 0.106098,0.033928,110849, Self,
11-16-2022-13-58-54.784,1, 1.5132859,0.043156,12861, Self,
11-16-2022-13-58-55.486,1, 0.8109513,0.043156,12861, Self,
11-16-2022-13-58-56.088,1, 0.2094776,0.043156,12861, Self,
11-16-2022-13-58-55.386,1, 0.9112801,0.043156,12861, Self,
11-16-2022-13-58-55.787,1, 0.5100726,0.043156,12861, Self,
11-16-2022-13-58-55.887,1, 0.409665,0.043156,12861, Self,
11-16-2022-13-58-55.286,1, 1.0113654,0.043156,12861, Self,
11-16-2022-13-58-55.586,1, 0.7107095,0.043156,12861, Self,
11-16-2022-13-58-55.687,1, 0.6101684,0.043156,12861, Self,
11-16-2022-13-58-55.185,1, 1.1117312,0.043156,12861, Self,
11-16-2022-13-58-55.987,1, 0.3096366,0.043156,12861, Self,
11-16-2022-13-58-55.084,1, 1.2131542,0.043156,12861, Self,
11-16-2022-13-58-54.984,1, 1.3131962,0.043156,12861, Self,
11-16-2022-13-58-54.884,1, 1.5821928,0.043062,14195, Self,
11-16-2022-13-58-56.192,1, 0.2749145,0.043062,14195, Self,
11-16-2022-13-58-56.292,1, 0.1756723,0.043062,14195, Self,
11-16-2022-13-58-56.393,1, 0.2023809,0.044105,16402, Self,
11-16-2022-13-58-56.493,1, 0.1541556,0.044843,17699, Self,
11-16-2022-13-58-56.594,1, 0.198705,0.044843,17699, Self,
11-16-2022-13-58-56.794,1, 0.3371461,0.047369,14566, Self,
11-16-2022-13-58-56.895,1, 0.2374942,0.047369,14566, Self,
11-16-2022-13-58-56.694,1, 0.4381932,0.047369,14566, Self,
11-16-2022-13-58-57.097,1, 0.3394942,0.044279,14564, Self,
11-16-2022-13-58-57.198,1, 0.2390354,0.044279,14564, Self,
11-16-2022-13-58-56.997,1, 0.4398358,0.044279,14564, Self,
11-16-2022-13-58-57.301,1, 0.1821229,0.042386,14567, Self,
11-16-2022-13-58-57.402,1, 0.1773538,0.041404,14570, Self,
11-16-2022-13-58-57.502,1, 0.2169528,0.042057,16105, Self,
11-16-2022-13-58-57.602,1, 0.2077754,0.042921,17419, Self,
11-16-2022-13-58-57.702,1, 0.2131163,0.044114,18547, Self,
11-16-2022-13-58-57.803,1, 0.1909014,0.047516,14560, Self,
11-16-2022-13-58-57.903,1, 0.1759307,0.04769,14653, Self,
11-16-2022-13-58-58.003,1, 0.1904654,0.049927,16287, Self,
11-16-2022-13-58-58.104,1, 0.144739,0.045486,17403, Self,
11-16-2022-13-58-58.205,1, 0.2320354,0.043765,20467, Self,
11-16-2022-13-58-58.305,1, 0.1366553,0.043765,20467, Self,
11-16-2022-13-58-58.405,1, 0.12874,0.043194,21594, Self,
11-16-2022-13-58-58.506,1, 0.1422524,0.03898,25379, Self,
11-16-2022-13-58-58.606,1, 0.1428497,0.040942,27024, Self,
11-16-2022-13-58-58.706,1, 0.2302793,0.038757,30688, Self,
11-16-2022-13-58-58.807,1, 0.1840714,0.037374,32490, Self,
11-16-2022-13-58-58.908,1, 0.1147473,0.037374,32490, Self,
11-16-2022-13-58-59.008,1, 0.1678055,0.037157,36540, Self,
11-16-2022-13-58-59.108,1, 0.1703231,0.036736,39305, Self,
11-16-2022-13-58-59.209,1, 0.1449751,0.03602,40678, Self,
11-16-2022-13-58-59.310,1, 0.2350657,0.038936,42468, Self,
11-16-2022-13-58-59.410,1, 0.1562065,0.038936,42468, Self,
11-16-2022-13-58-59.711,1, 0.615625,0.036177,11062, Self,
11-16-2022-13-58-59.913,1, 0.4142835,0.036177,11062, Self,
11-16-2022-13-58-59.812,1, 0.5154339,0.036177,11062, Self,
11-16-2022-13-58-59.610,1, 0.71706,0.036177,11062, Self,
11-16-2022-13-58-59.510,1, 0.8171541,0.036177,11062, Self,
11-16-2022-13-59-00.115,1, 0.2121264,0.036177,11062, Self,
11-16-2022-13-59-00.014,1, 0.3134333,0.036177,11062, Self,
11-16-2022-13-59-00.215,1, 0.1802385,0.035581,11379, Self,
11-16-2022-13-59-00.315,1, 0.1571852,0.034969,12606, Self,
11-16-2022-13-59-00.416,1, 0.172324,0.034256,13763, Self,
11-16-2022-13-59-00.516,1, 0.2041699,0.037979,14710, Self,
11-16-2022-13-59-00.616,1, 0.2114345,0.036615,16147, Self,
11-16-2022-13-59-00.716,1, 0.1730563,0.036023,16884, Self,
11-16-2022-13-59-00.816,1, 0.1316281,0.03604,17934, Self,
11-16-2022-13-59-00.918,1, 0.1403391,0.035231,18988, Self,
11-16-2022-13-59-01.018,1, 0.2137218,0.041046,20425, Self,
11-16-2022-13-59-01.120,1, 0.1693667,0.04395,21442, Self,
11-16-2022-13-59-01.220,1, 0.1652017,0.048522,22459, Self,
11-16-2022-13-59-01.320,1, 0.2680481,0.04877,23933, Self,
11-16-2022-13-59-01.421,1, 0.2383987,0.04877,23933, Self,
11-16-2022-13-59-01.521,1, 0.2100092,0.04877,16753, Self,
11-16-2022-13-59-01.621,1, 0.2227902,0.0421,16757, Self,
11-16-2022-13-59-01.722,1, 0.1572415,0.038133,17407, Self,
11-16-2022-13-59-01.822,1, 0.1543765,0.037485,19113, Self,
11-16-2022-13-59-01.922,1, 0.1823441,0.034855,21669, Self,
11-16-2022-13-59-02.025,1, 0.1310134,0.032144,24032, Self,
11-16-2022-13-59-02.125,1, 0.1814326,0.034091,26708, Self,
11-16-2022-13-59-02.225,1, 0.1703055,0.035627,27857, Self,
11-16-2022-13-59-02.326,1, 0.1840386,0.037785,29204, Self,
11-16-2022-13-59-02.426,1, 0.1490609,0.040185,30336, Self,
11-16-2022-13-59-02.527,1, 0.2079033,0.041768,32294, Self,
11-16-2022-13-59-02.627,1, 0.2384188,0.045184,32604, Self,
11-16-2022-13-59-02.727,1, 0.1950845,0.045166,34015, Self,
11-16-2022-13-59-02.828,1, 0.1404591,0.042761,35866, Self,
11-16-2022-13-59-02.928,1, 0.1740412,0.042916,37766, Self,
11-16-2022-13-59-03.028,1, 0.1744292,0.043313,26469, Self,
11-16-2022-13-59-03.128,1, 0.2238287,0.043811,18632, Self,
11-16-2022-13-59-03.228,1, 0.2921185,0.043464,18638, Self,
11-16-2022-13-59-03.329,1, 0.1911881,0.043464,18638, Self,
11-16-2022-13-59-03.429,1, 0.1796949,0.042018,20080, Self,
11-16-2022-13-59-03.530,1, 0.1524758,0.043041,21314, Self,
11-16-2022-13-59-03.630,1, 0.2177616,0.044597,23997, Self,
11-16-2022-13-59-03.730,1, 0.1584723,0.044956,24539, Self,
11-16-2022-13-59-03.831,1, 0.161313,0.043655,26427, Self,
11-16-2022-13-59-03.931,1, 0.1306305,0.042418,27858, Self,
11-16-2022-13-59-04.035,1, 0.2751939,0.041662,32781, Self,
11-16-2022-13-59-04.135,1, 0.1751004,0.041662,32781, Self,
11-16-2022-13-59-04.235,1, 0.1709633,0.040137,34373, Self,
11-16-2022-13-59-04.337,1, 0.1927977,0.038017,37755, Self,
11-16-2022-13-59-04.437,1, 0.1314309,0.038017,37755, Self,
11-16-2022-13-59-04.737,1, 0.2688537,0.045821,20165, Self,
11-16-2022-13-59-04.837,1, 0.1686657,0.045821,20165, Self,
11-16-2022-13-59-04.537,1, 0.4689611,0.045821,20165, Self,
11-16-2022-13-59-04.637,1, 0.3689127,0.045821,20165, Self,
11-16-2022-13-59-04.937,1, 0.4298705,0.041102,22799, Self,
11-16-2022-13-59-05.038,1, 0.3296148,0.041102,22799, Self,
11-16-2022-13-59-05.140,1, 0.285973,0.040787,25352, Self,
11-16-2022-13-59-05.241,1, 0.246271,0.03963,26852, Self,
11-16-2022-13-59-05.342,1, 0.2774313,0.042748,28023, Self,
11-16-2022-13-59-05.444,1, 0.2616316,0.041245,30261, Self,
11-16-2022-13-59-05.544,1, 0.2099317,0.040216,31363, Self,
11-16-2022-13-59-05.645,1, 0.2452794,0.039919,34438, Self,
11-16-2022-13-59-05.745,1, 0.2574293,0.040022,35917, Self,
11-16-2022-13-59-05.846,1, 0.2147226,0.03911,37350, Self,
11-16-2022-13-59-05.946,1, 0.2332214,0.037865,40293, Self,
11-16-2022-13-59-06.046,1, 0.2638525,0.037972,43012, Self,
11-16-2022-13-59-06.147,1, 0.2825837,0.038116,45294, Self,
