Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-39.666,3, 0.1688755,0.038642,15075, Foreign,
11-16-2022-13-58-39.766,3, 0.1874229,0.036472,15075, Foreign,
11-16-2022-13-58-39.869,3, 0.1069335,0.034816,15075, Foreign,
11-16-2022-13-58-39.062,3, 0.8322945,0.033837,6339, Foreign,
11-16-2022-13-58-40.273,3, 0.1019026,0.033696,15075, Foreign,
11-16-2022-13-58-39.364,3, 0.821441,0.040357,6339, Foreign,
11-16-2022-13-58-40.475,3, 0.1164397,0.042446,15075, Foreign,
11-16-2022-13-58-40.172,3, 0.6191814,0.036653,15075, Foreign,
11-16-2022-13-58-40.787,3, 0.1365287,0.040087,15075, Foreign,
11-16-2022-13-58-40.374,3, 0.6629486,0.044053,15075, Foreign,
11-16-2022-13-58-39.969,3, 0.8083206,0.031434,6339, Foreign,
11-16-2022-13-58-40.993,3, 0.0931997,0.025433,15075, Foreign,
11-16-2022-13-58-40.687,3, 0.4274348,0.033144,15075, Foreign,
11-16-2022-13-58-40.072,3, 0.8471019,0.038638,6339, Foreign,
11-16-2022-13-58-41.095,3, 0.2413453,0.045795,15075, Foreign,
11-16-2022-13-58-40.893,3, 0.4583755,0.035866,15075, Foreign,
11-16-2022-13-58-41.308,3, 0.1001094,0.033134,15075, Foreign,
11-16-2022-13-58-41.206,3, 0.3790774,0.031146,15075, Foreign,
11-16-2022-13-58-41.512,3, 0.1146272,0.037541,15075, Foreign,
11-16-2022-13-58-40.578,3, 0.8059722,0.022919,6339, Foreign,
11-16-2022-13-58-39.464,3, 1.9496343999999999,0.030314,6339, Foreign,
11-16-2022-13-58-41.612,3, 0.2203049,0.033674,15075, Foreign,
11-16-2022-13-58-41.713,3, 0.1746457,0.03726,15075, Foreign,
11-16-2022-13-58-41.918,3, 0.1224649,0.03817,15075, Foreign,
11-16-2022-13-58-41.816,3, 0.3945129,0.036397,15075, Foreign,
11-16-2022-13-58-42.121,3, 0.1107943,0.038721,15075, Foreign,
11-16-2022-13-58-42.018,3, 0.3849297,0.038847,15075, Foreign,
11-16-2022-13-58-41.408,3, 0.9963788,0.029315,15075, Foreign,
11-16-2022-13-58-42.323,3, 0.1179387,0.037883,15075, Foreign,
11-16-2022-13-58-42.424,3, 0.1136692,0.035242,15075, Foreign,
11-16-2022-13-58-42.524,3, 0.1407071,0.041375,15075, Foreign,
11-16-2022-13-58-42.222,3, 0.4894957,0.04239,15075, Foreign,
11-16-2022-13-58-42.728,3, 0.1229383,0.038376,15075, Foreign,
11-16-2022-13-58-42.828,3, 0.1221881,0.040362,15075, Foreign,
11-16-2022-13-58-42.627,3, 0.6026678,0.040247,15075, Foreign,
11-16-2022-13-58-43.132,3, 0.1203906,0.037374,15075, Foreign,
11-16-2022-13-58-43.332,3, 0.1393897,0.045183,15075, Foreign,
11-16-2022-13-58-43.031,3, 0.499701,0.046097,15075, Foreign,
11-16-2022-13-58-43.433,3, 0.1401478,0.051919,15075, Foreign,
11-16-2022-13-58-43.636,3, 0.1125339,0.036293,15075, Foreign,
11-16-2022-13-58-43.836,3, 0.128282,0.043421,15075, Foreign,
11-16-2022-13-58-43.533,3, 0.5346206,0.041254,15075, Foreign,
11-16-2022-13-58-44.252,3, 0.1222257,0.035442,15075, Foreign,
11-16-2022-13-58-43.232,3, 0.9732071,0.045318,6339, Foreign,
11-16-2022-13-58-44.562,3, 0.104581,0.031384,15075, Foreign,
11-16-2022-13-58-42.928,3, 1.4949839,0.047078,6339, Foreign,
11-16-2022-13-58-44.668,3, 0.1170345,0.034989,15075, Foreign,
11-16-2022-13-58-43.736,3, 0.8199009,0.0391,6339, Foreign,
11-16-2022-13-58-43.937,3, 1.1033346,0.045349,15075, Foreign,
11-16-2022-13-58-44.969,3, 0.1776413,0.036566,15075, Foreign,
11-16-2022-13-58-44.768,3, 0.3840475,0.03659,15075, Foreign,
11-16-2022-13-58-45.071,3, 0.132918,0.037317,15075, Foreign,
11-16-2022-13-58-44.047,3, 0.8598837,0.046086,6339, Foreign,
11-16-2022-13-58-44.152,3, 0.8592815,0.049607,6339, Foreign,
11-16-2022-13-58-45.171,3, 0.1623076,0.053069,15075, Foreign,
11-16-2022-13-58-44.353,3, 1.0041302,0.035053,15075, Foreign,
11-16-2022-13-58-45.271,3, 0.1255551,0.04323,15075, Foreign,
11-16-2022-13-58-44.457,3, 0.9161375,0.038242,6339, Foreign,
11-16-2022-13-58-45.478,3, 0.23308,0.04676,15075, Foreign,
11-16-2022-13-58-45.683,3, 0.1183338,0.034571,15075, Foreign,
11-16-2022-13-58-45.783,3, 0.1150467,0.040534,15075, Foreign,
11-16-2022-13-58-45.374,3, 0.5375251,0.040931,15075, Foreign,
11-16-2022-13-58-45.987,3, 0.1165167,0.040771,15075, Foreign,
11-16-2022-13-58-46.088,3, 0.1403306,0.045555,15075, Foreign,
11-16-2022-13-58-46.188,3, 0.1318518,0.045324,15075, Foreign,
11-16-2022-13-58-46.390,3, 0.1122841,0.034827,15075, Foreign,
11-16-2022-13-58-45.580,3, 0.8183436,0.0391,6339, Foreign,
11-16-2022-13-58-46.591,3, 0.2651941,0.05095,15075, Foreign,
11-16-2022-13-58-46.490,3, 0.4616876,0.036647,15075, Foreign,
11-16-2022-13-58-45.887,3, 0.8224713,0.036155,6339, Foreign,
11-16-2022-13-58-44.869,3, 1.9365926999999998,0.041492,6339, Foreign,
11-16-2022-13-58-46.695,3, 0.4155223,0.036201,15075, Foreign,
11-16-2022-13-58-47.102,3, 0.1131765,0.034459,15075, Foreign,
11-16-2022-13-58-46.998,3, 0.2257483,0.042604,15075, Foreign,
11-16-2022-13-58-46.795,3, 0.4974795,0.031651,15075, Foreign,
11-16-2022-13-58-46.290,3, 0.8240173,0.043053,6339, Foreign,
11-16-2022-13-58-47.412,3, 0.1089131,0.039165,15075, Foreign,
11-16-2022-13-58-47.514,3, 0.1133174,0.038988,15075, Foreign,
11-16-2022-13-58-46.896,3, 0.8347815,0.041096,15075, Foreign,
11-16-2022-13-58-47.203,3, 0.6242449,0.035787,15075, Foreign,
11-16-2022-13-58-47.718,3, 0.1238636,0.036739,15075, Foreign,
11-16-2022-13-58-47.818,3, 0.1149199,0.039631,15075, Foreign,
11-16-2022-13-58-47.615,3, 0.5515591,0.041185,15106, Foreign,
11-16-2022-13-58-48.220,3, 0.1295122,0.042954,15075, Foreign,
11-16-2022-13-58-47.309,3, 0.825416,0.034945,6339, Foreign,
11-16-2022-13-58-47.919,3, 0.5263869,0.037032,15075, Foreign,
11-16-2022-13-58-48.020,3, 0.5148489,0.039418,15075, Foreign,
11-16-2022-13-58-48.120,3, 0.4335498,0.039227,15075, Foreign,
11-16-2022-13-58-48.422,3, 0.1270691,0.043157,15075, Foreign,
11-16-2022-13-58-48.522,3, 0.1114007,0.03595,15075, Foreign,
11-16-2022-13-58-48.321,3, 0.4218786,0.031397,15075, Foreign,
11-16-2022-13-58-48.623,3, 0.2107051,0.043398,15075, Foreign,
11-16-2022-13-58-48.833,3, 0.1185804,0.037729,15075, Foreign,
11-16-2022-13-58-48.731,3, 0.2372548,0.031303,15075, Foreign,
11-16-2022-13-58-49.037,3, 0.1223893,0.037848,15075, Foreign,
11-16-2022-13-58-49.138,3, 0.114017,0.037858,15075, Foreign,
11-16-2022-13-58-49.238,3, 0.1454177,0.04658,15075, Foreign,
11-16-2022-13-58-49.339,3, 0.1607523,0.05133,15075, Foreign,
11-16-2022-13-58-49.439,3, 0.1547633,0.052782,15075, Foreign,
11-16-2022-13-58-48.935,3, 0.9868373,0.045475,6339, Foreign,
11-16-2022-13-58-50.147,3, 0.1578707,0.036174,15075, Foreign,
11-16-2022-13-58-49.841,3, 0.4963414,0.040872,15075, Foreign,
11-16-2022-13-58-49.741,3, 0.6658532,0.036297,15075, Foreign,
11-16-2022-13-58-50.352,3, 0.1013204,0.033347,15075, Foreign,
11-16-2022-13-58-50.043,3, 0.4200878,0.038363,15075, Foreign,
11-16-2022-13-58-49.942,3, 0.5456722,0.061117,15075, Foreign,
11-16-2022-13-58-50.452,3, 0.1172123,0.037511,15075, Foreign,
11-16-2022-13-58-49.540,3, 0.8290814,0.039614,6339, Foreign,
11-16-2022-13-58-50.552,3, 0.1251915,0.040964,15075, Foreign,
11-16-2022-13-58-50.653,3, 0.1208041,0.039819,15075, Foreign,
11-16-2022-13-58-50.854,3, 0.110627,0.038727,15075, Foreign,
11-16-2022-13-58-51.154,3, 0.1420954,0.046394,15075, Foreign,
11-16-2022-13-58-50.250,3, 0.9136386,0.049216,6339, Foreign,
11-16-2022-13-58-51.255,3, 0.2146529,0.04645,15075, Foreign,
11-16-2022-13-58-51.054,3, 0.4627531,0.046863,15075, Foreign,
11-16-2022-13-58-51.456,3, 0.1550756,0.050772,15075, Foreign,
11-16-2022-13-58-51.658,3, 0.108405,0.041223,15075, Foreign,
11-16-2022-13-58-51.355,3, 0.4451214,0.046717,15075, Foreign,
11-16-2022-13-58-51.758,3, 0.1137034,0.03932,15075, Foreign,
11-16-2022-13-58-49.640,3, 1.9391194999999999,0.033553,6339, Foreign,
11-16-2022-13-58-50.753,3, 0.8376167,0.039798,6339, Foreign,
11-16-2022-13-58-51.858,3, 0.1800232,0.042316,15075, Foreign,
11-16-2022-13-58-50.954,3, 0.8227919,0.034699,6339, Foreign,
11-16-2022-13-58-52.666,3, 0.0953313,0.03253,15075, Foreign,
11-16-2022-13-58-52.365,3, 0.4287358,0.02916,15075, Foreign,
11-16-2022-13-58-51.958,3, 0.878211,0.042716,15075, Foreign,
11-16-2022-13-58-52.466,3, 0.4017465,0.031709,15075, Foreign,
11-16-2022-13-58-52.770,3, 0.1007898,0.033071,15075, Foreign,
11-16-2022-13-58-52.163,3, 0.7226061,0.032456,15075, Foreign,
11-16-2022-13-58-52.971,3, 0.1010336,0.032955,15075, Foreign,
11-16-2022-13-58-52.059,3, 0.8187116,0.03625,6339, Foreign,
11-16-2022-13-58-53.071,3, 0.1092068,0.035481,15075, Foreign,
11-16-2022-13-58-52.870,3, 0.4283947,0.03855,15075, Foreign,
