Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-14-52-36.194,1, 0.1937905,0.036348,65520, SelfDown,
11-28-2022-14-52-36.396,1, 0.0645687,0.040223,29417, SelfUp,
11-28-2022-14-52-36.295,1, 0.2225835,0.044168,65520, SelfDown,
11-28-2022-14-52-36.497,1, 0.0626053,0.046131,30241, SelfUp,
11-28-2022-14-52-36.598,1, 0.0524982,0.046164,31697, SelfUp,
11-28-2022-14-52-36.396,1, 0.2664026,0.045287,46127, SelfDown,
11-28-2022-14-52-36.497,1, 0.2297093,0.043849,46599, SelfDown,
11-28-2022-14-52-36.698,1, 0.0356496,0.042436,33909, SelfUp,
11-28-2022-14-52-36.598,1, 0.2074293,0.041004,47081, SelfDown,
11-28-2022-14-52-36.698,1, 0.2686689,0.035417,48305, SelfDown,
11-28-2022-14-52-36.799,1, 0.2140331,0.035837,48504, SelfDown,
11-28-2022-14-52-36.901,1, 0.1786926,0.036565,49098, SelfDown,
11-28-2022-14-52-36.799,1, 0.3610547,0.039805,42646, SelfUp,
11-28-2022-14-52-36.901,1, 0.3027296,0.039805,42646, SelfUp,
11-28-2022-14-52-37.002,1, 0.2020257,0.039805,42646, SelfUp,
11-28-2022-14-52-37.102,1, 0.1022078,0.039805,42646, SelfUp,
11-28-2022-14-52-37.002,1, 0.2480695,0.042195,49924, SelfDown,
11-28-2022-14-52-37.203,1, 0.0520175,0.042435,43350, SelfUp,
11-28-2022-14-52-37.102,1, 0.2500214,0.042195,34946, SelfDown,
11-28-2022-14-52-37.203,1, 0.2549263,0.042159,24463, SelfDown,
11-28-2022-14-52-37.304,1, 0.1735827,0.043298,30684, SelfUp,
11-28-2022-14-52-37.404,1, 0.1159783,0.043374,30813, SelfUp,
11-28-2022-14-52-37.304,1, 0.323599,0.041537,17127, SelfDown,
11-28-2022-14-52-37.404,1, 0.2233437,0.041537,17127, SelfDown,
11-28-2022-14-52-37.504,1, 0.1258569,0.03823,31619, SelfUp,
11-28-2022-14-52-37.605,1, 0.0599534,0.041027,31772, SelfUp,
11-28-2022-14-52-37.504,1, 0.1989585,0.039594,17129, SelfDown,
11-28-2022-14-52-37.706,1, 0.085833,0.04067,32348, SelfUp,
11-28-2022-14-52-37.605,1, 0.2236479,0.038162,20123, SelfDown,
11-28-2022-14-52-37.807,1, 0.0500269,0.038428,37872, SelfUp,
11-28-2022-14-52-37.706,1, 0.2040598,0.034937,22134, SelfDown,
11-28-2022-14-52-37.807,1, 0.1316287,0.034898,22541, SelfDown,
11-28-2022-14-52-37.907,1, 0.1963216,0.038143,24789, SelfDown,
11-28-2022-14-52-38.008,1, 0.2123725,0.038143,17352, SelfDown,
11-28-2022-14-52-37.907,1, 0.3478773,0.044271,43355, SelfUp,
11-28-2022-14-52-38.008,1, 0.2880576,0.044271,43355, SelfUp,
11-28-2022-14-52-38.109,1, 0.1866913,0.044271,43355, SelfUp,
11-28-2022-14-52-38.210,1, 0.0862507,0.044271,43355, SelfUp,
11-28-2022-14-52-38.109,1, 0.2242716,0.038143,14560, SelfDown,
11-28-2022-14-52-38.310,1, 0.0820642,0.045483,45348, SelfUp,
11-28-2022-14-52-38.210,1, 0.2695124,0.039088,14567, SelfDown,
11-28-2022-14-52-38.310,1, 0.3454162,0.038031,14577, SelfDown,
11-28-2022-14-52-38.410,1, 0.2453366,0.038031,14577, SelfDown,
11-28-2022-14-52-38.512,1, 0.205725,0.033753,15146, SelfDown,
11-28-2022-14-52-38.410,1, 0.3471508,0.043618,52118, SelfUp,
11-28-2022-14-52-38.512,1, 0.2825146,0.043618,52118, SelfUp,
11-28-2022-14-52-38.613,1, 0.181675,0.043618,52118, SelfUp,
11-28-2022-14-52-38.714,1, 0.0804995,0.043618,52118, SelfUp,
11-28-2022-14-52-38.613,1, 0.196332,0.032646,17258, SelfDown,
11-28-2022-14-52-38.817,1, 0.0715754,0.033669,64140, SelfUp,
11-28-2022-14-52-38.919,1, 0.0734607,0.046824,64153, SelfUp,
11-28-2022-14-52-38.714,1, 0.3718959,0.044301,19633, SelfDown,
11-28-2022-14-52-38.919,1, 0.294728,0.04211,22051, SelfDown,
11-28-2022-14-52-38.817,1, 0.3967921,0.04211,22051, SelfDown,
11-28-2022-14-52-39.020,1, 0.1943305,0.04211,22051, SelfDown,
11-28-2022-14-52-39.120,1, 0.1992075,0.044542,23409, SelfDown,
11-28-2022-14-52-39.220,1, 0.2971022,0.041664,27136, SelfDown,
11-28-2022-14-52-39.020,1, 0.5163501,0.050913,2912, SelfUp,
11-28-2022-14-52-39.321,1, 0.2614831,0.040256,29756, SelfDown,
11-28-2022-14-52-39.423,1, 0.2616282,0.039309,32188, SelfDown,
11-28-2022-14-52-39.523,1, 0.2160159,0.039359,33089, SelfDown,
11-28-2022-14-52-39.624,1, 0.2007828,0.041267,33091, SelfDown,
11-28-2022-14-52-39.725,1, 0.2282854,0.040917,36401, SelfDown,
11-28-2022-14-52-39.825,1, 0.2846336,0.040702,38641, SelfDown,
11-28-2022-14-52-39.925,1, 0.3268828,0.039887,41288, SelfDown,
11-28-2022-14-52-40.026,1, 0.2486124,0.040667,42412, SelfDown,
11-28-2022-14-52-40.126,1, 0.2245964,0.04101,43253, SelfDown,
11-28-2022-14-52-39.120,1, 1.2499319,0.049151,9209, SelfUp,
11-28-2022-14-52-39.220,1, 1.149745,0.049151,9209, SelfUp,
11-28-2022-14-52-39.321,1, 1.0494766,0.049151,9209, SelfUp,
11-28-2022-14-52-39.624,1, 0.7463359,0.049151,9209, SelfUp,
11-28-2022-14-52-40.026,1, 0.3448216,0.049151,9209, SelfUp,
11-28-2022-14-52-39.925,1, 0.445495,0.049151,9209, SelfUp,
11-28-2022-14-52-39.825,1, 0.54503,0.049151,9209, SelfUp,
11-28-2022-14-52-39.725,1, 0.6458974,0.049151,9209, SelfUp,
11-28-2022-14-52-39.523,1, 0.8476043,0.049151,9209, SelfUp,
11-28-2022-14-52-39.423,1, 0.9474694,0.049151,9209, SelfUp,
11-28-2022-14-52-40.226,1, 0.1441702,0.049151,9209, SelfUp,
11-28-2022-14-52-40.126,1, 0.2443964,0.049151,9209, SelfUp,
11-28-2022-14-52-40.226,1, 0.2954222,0.039975,45903, SelfDown,
11-28-2022-14-52-40.327,1, 0.2325594,0.039975,45903, SelfDown,
11-28-2022-14-52-40.427,1, 0.2455591,0.041116,48835, SelfDown,
11-28-2022-14-52-40.327,1, 0.3574328,0.04106,16161, SelfUp,
11-28-2022-14-52-40.427,1, 0.2572653,0.04106,16161, SelfUp,
11-28-2022-14-52-40.629,1, 0.091717,0.04106,16161, SelfUp,
11-28-2022-14-52-40.529,1, 0.1921914,0.04106,16161, SelfUp,
11-28-2022-14-52-40.529,1, 0.2478198,0.041529,50486, SelfDown,
11-28-2022-14-52-40.729,1, 0.1125609,0.040082,18688, SelfUp,
11-28-2022-14-52-40.830,1, 0.0467773,0.040845,20014, SelfUp,
11-28-2022-14-52-40.729,1, 0.2900337,0.041947,54763, SelfDown,
11-28-2022-14-52-40.629,1, 0.401857,0.04152,55054, SelfDown,
11-28-2022-14-52-40.830,1, 0.2011786,0.04152,55054, SelfDown,
11-28-2022-14-52-40.930,1, 0.2420591,0.04597,22752, SelfUp,
11-28-2022-14-52-41.030,1, 0.1419635,0.04597,22752, SelfUp,
11-28-2022-14-52-41.131,1, 0.0568643,0.04593,22819, SelfUp,
11-28-2022-14-52-40.930,1, 0.2594424,0.044963,55059, SelfDown,
11-28-2022-14-52-41.131,1, 0.2654754,0.041277,61225, SelfDown,
11-28-2022-14-52-41.030,1, 0.4900213,0.044277,61228, SelfDown,
11-28-2022-14-52-41.331,1, 0.1894561,0.044277,61228, SelfDown,
11-28-2022-14-52-41.231,1, 0.2898783,0.044277,61228, SelfDown,
11-28-2022-14-52-41.231,1, 0.3649246,0.047575,28388, SelfUp,
11-28-2022-14-52-41.331,1, 0.2645024,0.047575,28388, SelfUp,
11-28-2022-14-52-41.431,1, 0.1643665,0.047575,28388, SelfUp,
11-28-2022-14-52-41.531,1, 0.0640456,0.047575,28388, SelfUp,
11-28-2022-14-52-41.632,1, 0.0568018,0.047956,29844, SelfUp,
11-28-2022-14-52-41.431,1, 0.2743486,0.047659,43049, SelfDown,
11-28-2022-14-52-41.733,1, 0.0423861,0.047457,31173, SelfUp,
11-28-2022-14-52-41.531,1, 0.3009323,0.046702,43679, SelfDown,
11-28-2022-14-52-41.833,1, 0.043706,0.045046,34899, SelfUp,
11-28-2022-14-52-41.632,1, 0.2535437,0.047412,44135, SelfDown,
11-28-2022-14-52-41.733,1, 0.2024879,0.045147,44464, SelfDown,
11-28-2022-14-52-41.934,1, 0.0540294,0.039499,41273, SelfUp,
11-28-2022-14-52-41.833,1, 0.3395371,0.042408,46209, SelfDown,
11-28-2022-14-52-41.934,1, 0.2633207,0.042408,46209, SelfDown,
11-28-2022-14-52-42.034,1, 0.2178823,0.04042,53071, SelfDown,
11-28-2022-14-52-42.134,1, 0.2614946,0.038864,57027, SelfDown,
11-28-2022-14-52-42.134,1, 0.3079797,0.040579,47752, SelfUp,
11-28-2022-14-52-42.034,1, 0.4082736,0.040579,47752, SelfUp,
11-28-2022-14-52-42.236,1, 0.206577,0.040579,47752, SelfUp,
11-28-2022-14-52-42.336,1, 0.1065487,0.040579,47752, SelfUp,
11-28-2022-14-52-42.236,1, 0.2103947,0.037683,58290, SelfDown,
11-28-2022-14-52-42.436,1, 0.0377623,0.039901,50315, SelfUp,
11-28-2022-14-52-42.537,1, 0.0424517,0.039345,52346, SelfUp,
11-28-2022-14-52-42.336,1, 0.2774175,0.039982,61203, SelfDown,
11-28-2022-14-52-42.436,1, 0.1914641,0.043729,61205, SelfDown,
11-28-2022-14-52-42.537,1, 0.2391889,0.04703,61210, SelfDown,
11-28-2022-14-52-42.638,1, 0.2233161,0.045265,61656, SelfDown,
11-28-2022-14-52-42.739,1, 0.2199175,0.043256,65558, SelfDown,
11-28-2022-14-52-42.840,1, 0.2129578,0.041295,66575, SelfDown,
11-28-2022-14-52-42.638,1, 0.5196715,0.04452,24900, SelfUp,
11-28-2022-14-52-42.840,1, 0.3177696,0.04452,24900, SelfUp,
11-28-2022-14-52-42.739,1, 0.419005,0.04452,24900, SelfUp,
11-28-2022-14-52-43.040,1, 0.1175732,0.04452,24900, SelfUp,
11-28-2022-14-52-42.940,1, 0.2176103,0.04452,24900, SelfUp,
11-28-2022-14-52-42.940,1, 0.321155,0.045166,68085, SelfDown,
11-28-2022-14-52-43.040,1, 0.2211179,0.045166,68085, SelfDown,
11-28-2022-14-52-43.141,1, 0.1928636,0.04617,25651, SelfUp,
11-28-2022-14-52-43.141,1, 0.2004821,0.043624,68864, SelfDown,
11-28-2022-14-52-43.241,1, 0.1273538,0.049998,25652, SelfUp,
11-28-2022-14-52-43.342,1, 0.1141305,0.045215,25656, SelfUp,
11-28-2022-14-52-43.241,1, 0.2171764,0.042147,68864, SelfDown,
11-28-2022-14-52-43.342,1, 0.1900363,0.040716,68864, SelfDown,
11-28-2022-14-52-43.442,1, 0.0945636,0.044305,25658, SelfUp,
11-28-2022-14-52-43.442,1, 0.1750823,0.040638,68864, SelfDown,
11-28-2022-14-52-43.542,1, 0.1215371,0.042825,25662, SelfUp,
11-28-2022-14-52-43.642,1, 0.0538938,0.044198,26013, SelfUp,
11-28-2022-14-52-43.542,1, 0.189593,0.041405,68864, SelfDown,
11-28-2022-14-52-43.744,1, 0.0879538,0.045147,27570, SelfUp,
11-28-2022-14-52-43.642,1, 0.2534335,0.04052,68864, SelfDown,
11-28-2022-14-52-43.844,1, 0.0569171,0.039696,30886, SelfUp,
11-28-2022-14-52-43.744,1, 0.2179423,0.03871,68864, SelfDown,
11-28-2022-14-52-43.946,1, 0.0354897,0.039568,32400, SelfUp,
11-28-2022-14-52-44.045,1, 0.0577459,0.043169,34159, SelfUp,
11-28-2022-14-52-43.844,1, 0.3505718,0.041297,68864, SelfDown,
11-28-2022-14-52-43.946,1, 0.2936664,0.041074,68864, SelfDown,
11-28-2022-14-52-44.147,1, 0.0935929,0.045905,23912, SelfUp,
11-28-2022-14-52-44.045,1, 0.2676686,0.041643,68864, SelfDown,
11-28-2022-14-52-44.247,1, 0.0811825,0.045056,24074, SelfUp,
11-28-2022-14-52-44.147,1, 0.2749522,0.039922,68864, SelfDown,
11-28-2022-14-52-44.247,1, 0.1743592,0.039922,68864, SelfDown,
11-28-2022-14-52-44.348,1, 0.1899742,0.042073,68864, SelfDown,
11-28-2022-14-52-44.449,1, 0.0948975,0.04458,25250, SelfUp,
11-28-2022-14-52-44.348,1, 0.1956268,0.04458,25250, SelfUp,
11-28-2022-14-52-44.549,1, 0.0522364,0.045616,29752, SelfUp,
11-28-2022-14-52-44.449,1, 0.2385759,0.045073,68864, SelfDown,
11-28-2022-14-52-44.650,1, 0.0408171,0.043503,31538, SelfUp,
11-28-2022-14-52-44.549,1, 0.2078958,0.042344,68864, SelfDown,
11-28-2022-14-52-44.650,1, 0.2404779,0.043367,68864, SelfDown,
11-28-2022-14-52-44.750,1, 0.1542116,0.042172,34476, SelfUp,
11-28-2022-14-52-44.850,1, 0.1000109,0.049096,34615, SelfUp,
11-28-2022-14-52-44.750,1, 0.2173804,0.046166,68864, SelfDown,
11-28-2022-14-52-44.950,1, 0.0467452,0.047686,35607, SelfUp,
11-28-2022-14-52-44.850,1, 0.2423446,0.048013,68864, SelfDown,
11-28-2022-14-52-45.050,1, 0.0899084,0.046383,38390, SelfUp,
11-28-2022-14-52-45.151,1, 0.0452202,0.04442,39707, SelfUp,
11-28-2022-14-52-44.950,1, 0.2472509,0.047247,68864, SelfDown,
11-28-2022-14-52-45.251,1, 0.0456651,0.03708,44761, SelfUp,
11-28-2022-14-52-45.151,1, 0.1622615,0.041958,68864, SelfDown,
11-28-2022-14-52-45.050,1, 0.2794967,0.041958,68864, SelfDown,
11-28-2022-14-52-45.352,1, 0.0370912,0.034431,48641, SelfUp,
11-28-2022-14-52-45.251,1, 0.1935038,0.037598,68864, SelfDown,
11-28-2022-14-52-45.452,1, 0.0681014,0.033269,51530, SelfUp,
11-28-2022-14-52-45.352,1, 0.223115,0.038269,68864, SelfDown,
11-28-2022-14-52-45.553,1, 0.0514099,0.040246,52440, SelfUp,
11-28-2022-14-52-45.452,1, 0.3018535,0.04199,68864, SelfDown,
11-28-2022-14-52-45.654,1, 0.118668,0.04199,68864, SelfDown,
11-28-2022-14-52-45.553,1, 0.2217965,0.04199,68864, SelfDown,
11-28-2022-14-52-45.654,1, 0.3228097,0.056474,52446, SelfUp,
11-28-2022-14-52-45.754,1, 0.2238017,0.03945,68864, SelfDown,
11-28-2022-14-52-45.754,1, 0.2606012,0.054139,52447, SelfUp,
11-28-2022-14-52-45.854,1, 0.1601688,0.054139,52447, SelfUp,
11-28-2022-14-52-45.955,1, 0.0597402,0.054139,52447, SelfUp,
11-28-2022-14-52-45.854,1, 0.2061765,0.040353,68864, SelfDown,
11-28-2022-14-52-46.055,1, 0.0566398,0.0513,52455, SelfUp,
11-28-2022-14-52-45.955,1, 0.1726105,0.044411,68864, SelfDown,
11-28-2022-14-52-46.055,1, 0.1724856,0.036958,68864, SelfDown,
11-28-2022-14-52-46.157,1, 0.1389555,0.037645,68864, SelfDown,
11-28-2022-14-52-46.257,1, 0.2631269,0.043886,68864, SelfDown,
11-28-2022-14-52-46.357,1, 0.1871395,0.043886,68864, SelfDown,
11-28-2022-14-52-46.457,1, 0.1686713,0.0443,68864, SelfDown,
11-28-2022-14-52-46.557,1, 0.2376688,0.045743,71168, SelfDown,
11-28-2022-14-52-46.658,1, 0.2553776,0.045192,71168, SelfDown,
11-28-2022-14-52-46.758,1, 0.2879405,0.04557,49817, SelfDown,
11-28-2022-14-52-46.859,1, 0.1868143,0.04557,49817, SelfDown,
11-28-2022-14-52-46.157,1, 0.9573856,0.0513,27158, SelfUp,
11-28-2022-14-52-46.257,1, 0.8573371,0.0513,27158, SelfUp,
