Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-47.636,469136.8654197583, 1, Upload, 
11-28-2022-16-08-47.636,533845.3985811042, 2, Upload, 
11-28-2022-16-08-47.636,469136.8654197583, 3, Upload, 
11-28-2022-16-08-47.636,630908.1983231233, 4, Upload, 
11-28-2022-16-08-47.636,566199.6651617773, 5, Upload, 
11-28-2022-16-08-47.636,760325.2646458151, 6, Upload, 
11-28-2022-16-08-47.636,889742.3309685071, 7, Upload, 
11-28-2022-16-08-47.636,469136.8654197583, 8, Upload, 
11-28-2022-16-08-47.636,48531.39987100948, 9, Upload, 
11-28-2022-16-08-47.636,1.0029822640008626e+06, 10, Upload, 
11-28-2022-16-08-47.636,954450.8641298531, 11, Upload, 
11-28-2022-16-08-47.636,291188.3992260569, 12, Upload, 
11-28-2022-16-08-47.636,501491.1320004313, 13, Upload, 
11-28-2022-16-08-47.636,210510.87670497978, 14, Upload, 
11-28-2022-16-08-47.635,1.5503762391690781e+07, 0, Download, 
11-28-2022-16-08-47.635,1.5205083474560708e+06, 1, Download, 
11-28-2022-16-08-47.635,2.9440249860879024e+06, 2, Download, 
11-28-2022-16-08-47.635,970627.9974201896, 3, Download, 
11-28-2022-16-08-47.635,323542.66580672987, 4, Download, 
11-28-2022-16-08-47.635,598553.9317424502, 5, Download, 
11-28-2022-16-08-47.635,1.633748280488426e+06, 6, Download, 
11-28-2022-16-08-47.635,1.897449771304467e+07, 7, Download, 
11-28-2022-16-08-47.635,5.4189841976738265e+06, 8, Download, 
11-28-2022-16-08-47.635,210302.7327743744, 9, Download, 
11-28-2022-16-08-47.635,2.4102506784245777e+06, 10, Download, 
11-28-2022-16-08-47.635,388251.19896807586, 11, Download, 
11-28-2022-16-08-47.635,1.6499254137787626e+06, 12, Download, 
11-28-2022-16-08-47.635,1.698485250016884e+07, 13, Download, 
11-28-2022-16-08-47.635,501491.1320004313, 14, Download, 
11-28-2022-16-08-48.638,1.8202632560052644e+07, 0, Download, 
11-28-2022-16-08-48.638,1.177030671173587e+06, 1, Download, 
11-28-2022-16-08-48.638,2.92619210956307e+06, 2, Download, 
11-28-2022-16-08-48.638,817432.302645529, 3, Download, 
11-28-2022-16-08-48.638,294275.62895239046, 4, Download, 
11-28-2022-16-08-48.638,506664.3383682786, 5, Download, 
11-28-2022-16-08-48.638,1.3078916842328464e+06, 6, Download, 
11-28-2022-16-08-48.638,2.1496960822221942e+07, 7, Download, 
11-28-2022-16-08-48.638,3.890690382048819e+06, 8, Download, 
11-28-2022-16-08-48.638,212532.39868783753, 9, Download, 
11-28-2022-16-08-48.638,1.9780424831302308e+06, 10, Download, 
11-28-2022-16-08-48.638,392295.6606338792, 11, Download, 
11-28-2022-16-08-48.638,1.3241684856497822e+06, 12, Download, 
11-28-2022-16-08-48.638,1.0936453918401456e+07, 13, Download, 
11-28-2022-16-08-48.638,604899.9039576915, 14, Download, 
11-28-2022-16-08-48.638,1.5857468224963516e+06, 15, Download, 
11-28-2022-16-08-48.638,915524.1789629925, 0, Upload, 
11-28-2022-16-08-48.638,817432.302645529, 1, Upload, 
11-28-2022-16-08-48.638,1.0790106394920982e+06, 2, Upload, 
11-28-2022-16-08-48.638,850129.5947513501, 3, Upload, 
11-28-2022-16-08-48.638,343321.5671111222, 4, Upload, 
11-28-2022-16-08-48.638,457762.08948149625, 5, Upload, 
11-28-2022-16-08-48.638,1.0299647013333666e+06, 6, Upload, 
11-28-2022-16-08-48.638,65394.584211642315, 7, Upload, 
11-28-2022-16-08-48.638,310624.275005301, 8, Upload, 
11-28-2022-16-08-48.638,0, 9, Upload, 
11-28-2022-16-08-48.638,637597.1960635126, 10, Upload, 
11-28-2022-16-08-48.638,899175.5329100819, 11, Upload, 
11-28-2022-16-08-48.638,555853.9657989597, 12, Upload, 
11-28-2022-16-08-48.638,1.160753869756651e+06, 13, Upload, 
11-28-2022-16-08-48.638,359670.2131640327, 14, Upload, 
11-28-2022-16-08-48.638,719340.4263280655, 15, Upload, 
11-28-2022-16-08-49.639,1.2646874484446822e+07, 0, Download, 
11-28-2022-16-08-49.639,1.1943457223217099e+06, 1, Download, 
11-28-2022-16-08-49.639,2.061453739126197e+06, 2, Download, 
11-28-2022-16-08-49.639,736141.0317814442, 3, Download, 
11-28-2022-16-08-49.639,294513.9349655006, 4, Download, 
11-28-2022-16-08-49.639,507218.4435516955, 5, Download, 
11-28-2022-16-08-49.639,1.0797406225745282e+06, 6, Download, 
11-28-2022-16-08-49.639,2.0320095359112624e+07, 7, Download, 
11-28-2022-16-08-49.639,4.0574599371489496e+06, 8, Download, 
11-28-2022-16-08-49.639,229066.39386205605, 9, Download, 
11-28-2022-16-08-49.639,1.8651111158158632e+06, 10, Download, 
11-28-2022-16-08-49.639,376323.3613448064, 11, Download, 
11-28-2022-16-08-49.639,1.717854148333113e+06, 12, Download, 
11-28-2022-16-08-49.639,1.878215004599783e+07, 13, Download, 
11-28-2022-16-08-49.639,572665.9846551401, 14, Download, 
11-28-2022-16-08-49.639,3.5339515111375465e+06, 15, Download, 
11-28-2022-16-08-49.639,0, 16, Download, 
11-28-2022-16-08-49.639,752646.7226896128, 0, Upload, 
11-28-2022-16-08-49.639,376323.3613448064, 1, Upload, 
11-28-2022-16-08-49.639,883541.8048965018, 2, Upload, 
11-28-2022-16-08-49.639,801732.3785171962, 3, Upload, 
11-28-2022-16-08-49.639,834456.1490689184, 4, Upload, 
11-28-2022-16-08-49.639,1.2435032809654472e+06, 5, Upload, 
11-28-2022-16-08-49.639,539942.2141034178, 6, Upload, 
11-28-2022-16-08-49.639,0, 7, Upload, 
11-28-2022-16-08-49.639,229066.39386205605, 8, Upload, 
11-28-2022-16-08-49.639,98171.31165516688, 9, Upload, 
