Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-39-59.815,1, 0.5046618,0.042328,65520, SelfDown,
11-26-2022-11-39-59.916,1, 0.5963027,0.042307,65520, SelfDown,
11-26-2022-11-40-00.116,1, 0.5318999,0.040146,65520, SelfDown,
11-26-2022-11-40-00.016,1, 0.6325026,0.040146,65520, SelfDown,
11-26-2022-11-40-00.219,1, 0.5309977,0.040298,65520, SelfDown,
11-26-2022-11-40-00.016,1, 0.8395611,0.040883,196679, SelfUp,
11-26-2022-11-40-00.219,1, 0.6736603,0.039844,196990, SelfUp,
11-26-2022-11-40-00.320,1, 0.5730874,0.039844,196990, SelfUp,
11-26-2022-11-40-00.622,1, 0.2717128,0.039844,196990, SelfUp,
11-26-2022-11-40-00.116,1, 0.7762061,0.039844,196990, SelfUp,
11-26-2022-11-40-00.520,1, 0.3733743,0.039844,196990, SelfUp,
11-26-2022-11-40-00.824,1, 0.0695006,0.039844,196990, SelfUp,
11-26-2022-11-40-00.420,1, 0.4736411,0.039844,196990, SelfUp,
11-26-2022-11-40-00.724,1, 0.1695851,0.039844,196990, SelfUp,
11-26-2022-11-40-00.420,1, 0.511041,0.041164,65520, SelfDown,
11-26-2022-11-40-00.320,1, 0.6374506,0.040096,65520, SelfDown,
11-26-2022-11-40-00.622,1, 0.4378481,0.040147,65520, SelfDown,
11-26-2022-11-40-00.520,1, 0.5395096,0.040147,65520, SelfDown,
11-26-2022-11-40-00.924,1, 0.1698403,0.038058,199776, SelfUp,
11-26-2022-11-40-01.025,1, 0.0694679,0.038058,199776, SelfUp,
11-26-2022-11-40-01.125,1, 0.0907577,0.042885,201037, SelfUp,
11-26-2022-11-40-01.226,1, 0.0337693,0.039407,202914, SelfUp,
11-26-2022-11-40-00.924,1, 0.3430851,0.040508,65520, SelfDown,
11-26-2022-11-40-01.326,1, 0.031153,0.035504,205021, SelfUp,
11-26-2022-11-40-00.825,1, 0.5451539,0.038126,65520, SelfDown,
11-26-2022-11-40-01.025,1, 0.4183281,0.03765,65520, SelfDown,
11-26-2022-11-40-00.724,1, 0.7184787,0.03765,65520, SelfDown,
11-26-2022-11-40-01.427,1, 0.0691618,0.035144,208989, SelfUp,
11-26-2022-11-40-01.527,1, 0.0796211,0.03862,210095, SelfUp,
11-26-2022-11-40-01.628,1, 0.035415,0.037095,211734, SelfUp,
11-26-2022-11-40-01.125,1, 0.5457507,0.03906,65520, SelfDown,
11-26-2022-11-40-01.226,1, 0.4921319,0.038622,65520, SelfDown,
11-26-2022-11-40-01.730,1, 0.0326283,0.034857,215345, SelfUp,
11-26-2022-11-40-01.326,1, 0.5112037,0.038724,65520, SelfDown,
11-26-2022-11-40-01.427,1, 0.4100852,0.038724,65520, SelfDown,
11-26-2022-11-40-01.831,1, 0.0337019,0.035778,218229, SelfUp,
11-26-2022-11-40-01.527,1, 0.4106633,0.037836,65520, SelfDown,
11-26-2022-11-40-01.931,1, 0.0377665,0.036156,220935, SelfUp,
11-26-2022-11-40-01.628,1, 0.4215674,0.037914,65520, SelfDown,
11-26-2022-11-40-02.031,1, 0.0348708,0.035747,224469, SelfUp,
11-26-2022-11-40-02.132,1, 0.0315871,0.033206,227323, SelfUp,
11-26-2022-11-40-01.831,1, 0.3951947,0.036586,65520, SelfDown,
11-26-2022-11-40-01.730,1, 0.4956706,0.036586,65520, SelfDown,
11-26-2022-11-40-02.232,1, 0.0360464,0.033536,229454, SelfUp,
11-26-2022-11-40-02.333,1, 0.037334,0.036627,231627, SelfUp,
11-26-2022-11-40-02.031,1, 0.4451039,0.038543,65520, SelfDown,
11-26-2022-11-40-01.931,1, 0.5452898,0.038543,65520, SelfDown,
11-26-2022-11-40-02.433,1, 0.0832095,0.037216,233364, SelfUp,
11-26-2022-11-40-02.535,1, 0.035053,0.035168,234429, SelfUp,
11-26-2022-11-40-02.636,1, 0.0440859,0.032084,264013, SelfUp,
11-26-2022-11-40-02.737,1, 0.0663656,0.049312,264021, SelfUp,
11-26-2022-11-40-02.232,1, 0.5919707,0.043448,65520, SelfDown,
11-26-2022-11-40-02.433,1, 0.3911673,0.043448,65520, SelfDown,
11-26-2022-11-40-02.333,1, 0.4918503,0.043448,65520, SelfDown,
11-26-2022-11-40-02.838,1, 0.092063,0.048497,264029, SelfUp,
11-26-2022-11-40-02.939,1, 0.0451548,0.047257,264036, SelfUp,
11-26-2022-11-40-02.535,1, 0.4647571,0.044478,65520, SelfDown,
11-26-2022-11-40-02.132,1, 0.8677819,0.044478,65520, SelfDown,
11-26-2022-11-40-03.040,1, 0.0398923,0.038942,264050, SelfUp,
