Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-26.624,196555.30352312545, 7, Upload, 
11-26-2022-11-41-26.624,343971.78116546955, 8, Upload, 
11-26-2022-11-41-26.624,540527.084688595, 9, Upload, 
11-26-2022-11-41-26.624,950017.300361773, 10, Upload, 
11-26-2022-11-41-26.624,0, 11, Upload, 
11-26-2022-11-41-26.624,49138.82588078136, 12, Upload, 
11-26-2022-11-41-26.624,999156.1262425544, 13, Upload, 
11-26-2022-11-41-26.624,1.3758871246618782e+06, 14, Upload, 
11-26-2022-11-41-26.624,540527.084688595, 15, Upload, 
11-26-2022-11-41-26.624,1.3267482987810967e+06, 16, Upload, 
11-26-2022-11-41-26.624,556906.6933155222, 17, Upload, 
11-26-2022-11-41-26.624,556906.6933155222, 18, Upload, 
11-26-2022-11-41-26.624,1.097433778004117e+06, 19, Upload, 
11-26-2022-11-41-26.624,3.6031539944140976e+06, 0, Download, 
11-26-2022-11-41-26.624,1.9326498565734527e+06, 1, Download, 
11-26-2022-11-41-26.624,1.1957114297656799e+06, 2, Download, 
11-26-2022-11-41-26.624,1.2939171008252688e+06, 3, Download, 
11-26-2022-11-41-26.624,1.1808906032292742e+07, 4, Download, 
11-26-2022-11-41-26.624,4.799009385583725e+06, 5, Download, 
11-26-2022-11-41-26.624,2.751558307217835e+06, 6, Download, 
11-26-2022-11-41-26.624,2.522459728546777e+06, 7, Download, 
11-26-2022-11-41-26.624,8.41854298862475e+06, 8, Download, 
11-26-2022-11-41-26.624,2.751558307217835e+06, 9, Download, 
11-26-2022-11-41-26.624,2.5878342016505376e+06, 10, Download, 
11-26-2022-11-41-26.624,786221.2140925018, 11, Download, 
11-26-2022-11-41-26.624,1.1628802318098517e+06, 12, Download, 
11-26-2022-11-41-26.624,2.129277140798552e+06, 13, Download, 
11-26-2022-11-41-26.624,2.259882125602126e+06, 14, Download, 
11-26-2022-11-41-26.624,2.0309275083350155e+06, 15, Download, 
11-26-2022-11-41-26.624,3.046391262502523e+06, 16, Download, 
11-26-2022-11-41-26.624,458629.04155395937, 17, Download, 
11-26-2022-11-41-26.624,1.2693332917444833e+07, 18, Download, 
11-26-2022-11-41-26.624,393110.6070462509, 19, Download, 
11-26-2022-11-41-27.627,3.690838883113354e+06, 0, Download, 
11-26-2022-11-41-27.627,2.13950486748163e+06, 1, Download, 
11-26-2022-11-41-27.627,1.5025530367046562e+06, 2, Download, 
11-26-2022-11-41-27.627,1.257571563328897e+06, 3, Download, 
11-26-2022-11-41-27.627,7.5612590747862365e+06, 4, Download, 
11-26-2022-11-41-27.627,4.196990384257867e+06, 5, Download, 
11-26-2022-11-41-27.627,2.7762413825105196e+06, 6, Download, 
11-26-2022-11-41-27.627,2.710697673862233e+06, 7, Download, 
11-26-2022-11-41-27.627,8.051150249621727e+06, 8, Download, 
11-26-2022-11-41-27.627,3.26613255734601e+06, 9, Download, 
11-26-2022-11-41-27.627,2.6129204002600135e+06, 10, Download, 
11-26-2022-11-41-27.627,832937.0094775811, 11, Download, 
11-26-2022-11-41-27.627,1.5514057875477518e+06, 12, Download, 
11-26-2022-11-41-27.627,2.2046897165497765e+06, 13, Download, 
11-26-2022-11-41-27.627,2.514999582825738e+06, 14, Download, 
