Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-42.310,999323.6679037425, 2, Upload, 
11-26-2022-11-30-42.310,1.0648530887498895e+06, 3, Upload, 
11-26-2022-11-30-42.310,1.0157060231152793e+06, 4, Upload, 
11-26-2022-11-30-42.310,393176.5250768823, 5, Upload, 
11-26-2022-11-30-42.310,1.1140001543844999e+06, 6, Upload, 
11-26-2022-11-30-42.310,769970.6949422278, 7, Upload, 
11-26-2022-11-30-42.310,917411.8918460587, 8, Upload, 
11-26-2022-11-30-42.310,1.0484707335383528e+06, 9, Upload, 
11-26-2022-11-30-42.310,1.1467648648075734e+06, 10, Upload, 
11-26-2022-11-30-42.310,262117.6833845882, 11, Upload, 
11-26-2022-11-30-42.310,360674.72012907313, 12, Upload, 
11-26-2022-11-30-42.311,1.7922712178710327e+07, 0, Download, 
11-26-2022-11-30-42.311,1.4170549481844664e+07, 1, Download, 
11-26-2022-11-30-42.311,7.994363468298908e+06, 2, Download, 
11-26-2022-11-30-42.311,5.127299940522831e+06, 3, Download, 
11-26-2022-11-30-42.311,1.7856990007275653e+06, 4, Download, 
11-26-2022-11-30-42.311,3.767996643359776e+06, 5, Download, 
11-26-2022-11-30-42.311,851855.4516805, 6, Download, 
11-26-2022-11-30-42.311,7.503154849829148e+06, 7, Download, 
11-26-2022-11-30-42.311,6.45441276995215e+06, 8, Download, 
11-26-2022-11-30-42.311,3.341960922660081e+06, 9, Download, 
11-26-2022-11-30-42.311,1.0976757506342698e+06, 10, Download, 
11-26-2022-11-30-42.311,6.569095311063193e+06, 11, Download, 
11-26-2022-11-30-42.311,999376.4296819471, 12, Download, 
11-26-2022-11-30-43.312,1.0629524017987226e+06, 0, Upload, 
11-26-2022-11-30-43.312,1.0138930601772432e+06, 1, Upload, 
11-26-2022-11-30-43.312,997427.8476485009, 2, Upload, 
11-26-2022-11-30-43.312,441484.45715589385, 3, Upload, 
11-26-2022-11-30-43.312,801212.5333569925, 4, Upload, 
11-26-2022-11-30-43.312,719456.1524021974, 5, Upload, 
11-26-2022-11-30-43.312,588645.9428745252, 6, Upload, 
11-26-2022-11-30-43.312,588645.9428745252, 7, Upload, 
11-26-2022-11-30-43.312,817563.8095479516, 8, Upload, 
11-26-2022-11-30-43.312,1.046481676221378e+06, 9, Upload, 
11-26-2022-11-30-43.312,964725.2952665829, 10, Upload, 
11-26-2022-11-30-43.312,637699.7714474023, 11, Upload, 
11-26-2022-11-30-43.312,555943.3904926071, 12, Upload, 
11-26-2022-11-30-43.312,294322.9714372626, 13, Upload, 
11-26-2022-11-30-43.312,1.2188616410473755e+07, 0, Download, 
11-26-2022-11-30-43.312,1.330163001007365e+07, 1, Download, 
11-26-2022-11-30-43.312,5.088537179383598e+06, 2, Download, 
11-26-2022-11-30-43.312,4.843030500284073e+06, 3, Download, 
11-26-2022-11-30-43.312,1.7507680572473414e+06, 4, Download, 
11-26-2022-11-30-43.312,3.1084809518906493e+06, 5, Download, 
11-26-2022-11-30-43.312,965376.7792298425, 6, Download, 
11-26-2022-11-30-43.312,6.658960211823313e+06, 7, Download, 
11-26-2022-11-30-43.312,5.415495926347996e+06, 8, Download, 
11-26-2022-11-30-43.312,2.748581854185019e+06, 9, Download, 
11-26-2022-11-30-43.312,932652.14264578, 10, Download, 
11-26-2022-11-30-43.312,4.613814234757522e+06, 11, Download, 
11-26-2022-11-30-43.312,1.3253477816545295e+06, 12, Download, 
11-26-2022-11-30-43.312,1.9798405133357786e+06, 13, Download, 
11-26-2022-11-30-44.313,1.227124606774371e+06, 0, Upload, 
11-26-2022-11-30-44.313,703551.441217306, 1, Upload, 
11-26-2022-11-30-44.313,703630.5619949889, 2, Upload, 
11-26-2022-11-30-44.313,703630.5619949889, 3, Upload, 
11-26-2022-11-30-44.313,490905.0432523178, 4, Upload, 
11-26-2022-11-30-44.313,359997.03171836643, 5, Upload, 
11-26-2022-11-30-44.313,965446.5850628917, 6, Upload, 
11-26-2022-11-30-44.313,719994.0634367329, 7, Upload, 
11-26-2022-11-30-44.313,949083.0836211478, 8, Upload, 
