Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-14-47-12.376,1, 0.0342859,0.034248,1297408, SelfUp,
11-16-2022-14-47-12.376,1, 0.1285483,0.035761,148677, SelfDown,
11-16-2022-14-47-12.478,1, 0.0272238,0.031053,1297408, SelfUp,
11-16-2022-14-47-12.478,1, 0.0466912,0.034631,148679, SelfDown,
11-16-2022-14-47-12.579,1, 0.1539593,0.034624,153692, SelfDown,
11-16-2022-14-47-12.579,1, 0.3081826,0.044487,1297408, SelfUp,
11-16-2022-14-47-12.679,1, 0.2309752,0.029994,174716, SelfDown,
11-16-2022-14-47-12.785,1, 0.1373193,0.04239,1297408, SelfUp,
11-16-2022-14-47-12.679,1, 0.2426413,0.04239,1297408, SelfUp,
11-16-2022-14-47-12.885,1, 0.0370705,0.04239,1297408, SelfUp,
11-16-2022-14-47-12.987,1, 0.0366369,0.036382,1297408, SelfUp,
11-16-2022-14-47-13.087,1, 0.041475,0.037944,1297408, SelfUp,
11-16-2022-14-47-12.784,1, 0.3753728,0.038356,175325, SelfDown,
11-16-2022-14-47-12.885,1, 0.2761251,0.038356,175325, SelfDown,
11-16-2022-14-47-12.987,1, 0.1749987,0.038356,175325, SelfDown,
11-16-2022-14-47-13.087,1, 0.0747746,0.038356,175325, SelfDown,
11-16-2022-14-47-13.191,1, 0.0392593,0.037649,1297408, SelfUp,
11-16-2022-14-47-13.190,1, 0.0800025,0.039289,176414, SelfDown,
11-16-2022-14-47-13.291,1, 0.0778617,0.035327,1297408, SelfUp,
11-16-2022-14-47-13.392,1, 0.0401985,0.03652,1297408, SelfUp,
11-16-2022-14-47-13.291,1, 0.1591627,0.034576,176984, SelfDown,
11-16-2022-14-47-13.392,1, 0.0598418,0.034576,176984, SelfDown,
11-16-2022-14-47-13.492,1, 0.1860456,0.037281,177644, SelfDown,
11-16-2022-14-47-13.492,1, 0.3087231,0.048719,1297408, SelfUp,
11-16-2022-14-47-13.604,1, 0.2220997,0.038333,191137, SelfDown,
11-16-2022-14-47-13.704,1, 0.1298542,0.038333,191137, SelfDown,
11-16-2022-14-47-13.604,1, 0.233289,0.045921,1297408, SelfUp,
11-16-2022-14-47-13.704,1, 0.1329192,0.045921,1297408, SelfUp,
11-16-2022-14-47-13.806,1, 0.0341406,0.041992,1297408, SelfUp,
11-16-2022-14-47-13.806,1, 0.1674619,0.036437,191581, SelfDown,
11-16-2022-14-47-13.906,1, 0.0964781,0.039111,1297408, SelfUp,
11-16-2022-14-47-13.906,1, 0.1040568,0.03604,191606, SelfDown,
11-16-2022-14-47-14.007,1, 0.0438802,0.038039,1297408, SelfUp,
11-16-2022-14-47-14.112,1, 0.0277994,0.036359,1297408, SelfUp,
11-16-2022-14-47-14.007,1, 0.1476677,0.04324,192256, SelfDown,
11-16-2022-14-47-14.111,1, 0.0482221,0.04324,192256, SelfDown,
11-16-2022-14-47-14.216,1, 0.0684543,0.039372,1297408, SelfUp,
11-16-2022-14-47-14.324,1, 0.0370612,0.037517,1297408, SelfUp,
11-16-2022-14-47-14.216,1, 0.1557234,0.034882,192780, SelfDown,
11-16-2022-14-47-14.324,1, 0.1276819,0.03508,192955, SelfDown,
11-16-2022-14-47-14.429,1, 0.0420833,0.035583,1297408, SelfUp,
11-16-2022-14-47-14.429,1, 0.1699997,0.036261,193173, SelfDown,
11-16-2022-14-47-14.529,1, 0.095045,0.037486,1297408, SelfUp,
11-16-2022-14-47-14.529,1, 0.1453303,0.037074,193393, SelfDown,
11-16-2022-14-47-14.629,1, 0.0451093,0.038311,1297408, SelfUp,
11-16-2022-14-47-14.629,1, 0.1070367,0.034384,193674, SelfDown,
11-16-2022-14-47-14.731,1, 0.0397684,0.038577,1297408, SelfUp,
11-16-2022-14-47-14.833,1, 0.0403738,0.03799,1297408, SelfUp,
11-16-2022-14-47-14.731,1, 0.1892333,0.036026,193939, SelfDown,
11-16-2022-14-47-14.935,1, 0.0338808,0.037288,1297408, SelfUp,
11-16-2022-14-47-14.833,1, 0.1628479,0.036475,194286, SelfDown,
11-16-2022-14-47-15.037,1, 0.0234875,0.032631,1297408, SelfUp,
11-16-2022-14-47-14.935,1, 0.1257402,0.032798,205278, SelfDown,
11-16-2022-14-47-15.037,1, 0.046356,0.032798,205278, SelfDown,
11-16-2022-14-47-15.136,1, 0.0712874,0.034477,1297408, SelfUp,
11-16-2022-14-47-15.243,1, 0.0373429,0.038069,1297408, SelfUp,
11-16-2022-14-47-15.136,1, 0.2060656,0.036374,225856, SelfDown,
11-16-2022-14-47-15.243,1, 0.1090692,0.036374,225856, SelfDown,
11-16-2022-14-47-15.344,1, 0.0932745,0.035974,1297408, SelfUp,
11-16-2022-14-47-15.344,1, 0.0972255,0.034008,226181, SelfDown,
11-16-2022-14-47-15.447,1, 0.0256566,0.033912,1297408, SelfUp,
11-16-2022-14-47-15.553,1, 0.0373346,0.040375,1297408, SelfUp,
11-16-2022-14-47-15.447,1, 0.1883697,0.034157,234068, SelfDown,
11-16-2022-14-47-15.552,1, 0.1135706,0.034157,234068, SelfDown,
11-16-2022-14-47-15.653,1, 0.0667128,0.039331,1297408, SelfUp,
11-16-2022-14-47-15.753,1, 0.03262,0.037284,1297408, SelfUp,
11-16-2022-14-47-15.652,1, 0.1687606,0.034085,234362, SelfDown,
11-16-2022-14-47-15.753,1, 0.1266202,0.033531,234607, SelfDown,
11-16-2022-14-47-15.854,1, 0.0316897,0.034134,1297408, SelfUp,
11-16-2022-14-47-15.854,1, 0.0508715,0.027525,269283, SelfDown,
11-16-2022-14-47-15.958,1, 0.0379701,0.0349,1297408, SelfUp,
11-16-2022-14-47-15.958,1, 0.0994595,0.032421,280068, SelfDown,
11-16-2022-14-47-16.059,1, 0.0335129,0.036242,1297408, SelfUp,
11-16-2022-14-47-16.059,1, 0.0809341,0.034431,280244, SelfDown,
11-16-2022-14-47-16.161,1, 0.1535075,0.034537,280278, SelfDown,
11-16-2022-14-47-16.262,1, 0.1534437,0.033497,280470, SelfDown,
11-16-2022-14-47-16.367,1, 0.0988006,0.029856,280632, SelfDown,
11-16-2022-14-47-16.161,1, 0.3100404,0.036657,1297408, SelfUp,
11-16-2022-14-47-16.468,1, 0.1480386,0.032223,280819, SelfDown,
